Code,Symbol,Name
11570044,ARCHIDPLY,
11620123,MVL,
10660011,RBL,
12540671,RPGLIFE,
13010005,DIGISPICE,
12540670,PIRPHYTO,
14010665,BAJAJFINSV,
10540026,BAJAJ-AUTO,
16090072,KIRIINDUS,
11050031,ANIKINDS,
15130020,DPSCLTD,
13510068,TWL,
16560009,EIHAHOTELS,
13510022,NESCO,
14010497,IBVENTURES,
11600094,GAMMNINFRA,
16530004,BALLARPUR,
13150060,VGUARD,
14040025,RECLTD,
14010584,NAHARCAP,
13191071,GSS,
14090206,ALMONDZ,
11510013,RAIN,
15110018,NMDC,
11120066,GOKUL,
11580008,SHALPAINTS,
11600148,IRB,
16070099,BANG,
15150031,SHRIRAMEPC,
13170007,SUJANAUNI,
11600113,TANTIACONS,
15200058,ONMOBILE,
13520072,HERCULES,
15210025,KNRCON,
15050050,CORDSCABLE,
15130035,RPOWER,
11600146,JKIL,
14010479,BIRLAMONEY,
10680003,CEATLTD,
16030178,AMBIKCO,
15140047,KAVVERITEL,
16590010,PATINTLOG,
11040032,DVL,
10670071,PPAP,
12120063,ARIES,
17024027,MANAKSIA,
13240056,ECLERX,
13520218,BGRENERGY,
15150029,TRIL,
14590041,HITECHCORP,
11540021,MADHAV,
12520131,JYOTHYLAB,
13560049,KALYANIFRG,
,KAUSHALYA,
12520001,COLPAL,
11620098,KOLTEPATIL,
14010601,EDELWEISS,
15070075,RGL,
17025086,ADANIPORTS,
11600041,JMCPROJECT,
12070001,ALKYLAMINE,
11510060,BURNPUR,
14620010,RMCL,
11620110,BRIGADE,
11120054,CERA,
11510058,BVCL,
14010630,RELIGARE,
17020330,SABTN,
15060001.01,DELTACORP,
15130030,ENERGYDEV,
16610002,BAJAJELEC,
12100008,MANGCHEFER,
15040022,MAANALU,
13110033,CENTUM,
15130029,POWERGRID,
11140043,KSCL,
16530167,MAGNUM,
14090890,NAGREEKCAP,
14010615,MOTILALOFS,
15130075,INDOWIND,
15510021,MAHINDCIE,
11620085,PURVA,
15620019,SRIPIPES,
16070089,KPRMILL,
15600055,ISMTLTD,
13191001,TAKE,
11540067,ASIANTILES,
16490238,SELMCL,
14030013,CENTRALBK,
16560035,VICEROY,
11620053,OMAXE,
16070011,VIPCLOTHNG,
12540643,ALPA,
13150009,WSI,
11520002,DECCANCE,
17010059,ALCHEM,
13240040,ADSL,
11620084,HDIL,
13190177,MEGASOFT,
12540642,CELESTIAL,
12540617,SPARC,
15210038,TARMAT,
13520062,DLF,
16610468,V2RETAIL,
12120059,MEGH,
13560108,NELCAST,
16560013,ADVANIHOTR,
13240039,HGS,
16030102,NAGREEKEXP,
17024927,TIMETECHNO,
13520150,ELECTHERM,
10700001,GOACARBON,
13510029,GUJAPOLLO,
12310029,NAVINFLUOR,
11320018,KMSUGAR,
15140079,MIC,
12210012,INSECTICID,
11100041,MCDHOLDING,
13570036,HILTON,
16620065,TGBHOTELS,
17020264,WEBELSOLAR,
17020072,ALPHAGEO,
12540511,FORTIS,
12080081,SRHHYPOLTD,
13190063,KGL,
15130048,BFUTILITIE,
16580003,GLOBOFFS,
17010018,ZENITHBIR,
14090278,HINDUJAVEN,
11550043,AROGRANITE,
,PHOENIXLTD,
17040190,DISHTV,
14010386,ICRA,
12150002,BANSWRAS,
12080060,BALAMINES,
16040010,GARFIBRES,
11520006,NCLIND,
12540269,THEMISMED,
10670044,JMTAUTOLTD,
11620069,IBREALEST,
16080002,NAHARSPING,
16030020,NAHARPOLY,
12190030,ASTRAL,
14620011,AMDIND,
16070088,PAGEIND,
10680007,JKTYRE,
14580030,LAOPALA,
15200008,IDEA,
17040184,RAJTV,
12070012,PUNJABCHEM,
11570043,UNIPLY,
13190978,MINDTREE,
11550082,ORIENTALTL,
11550082,ORIENTALTL,
12080022,HSCL,
14080010,GANESHHOUC,
14030019,INDIANB,
12540635,SMSPHARMA,
14010533,TFL,
14040029,PFC,
14010399,FSL,
16080003,TTL,
16070084,PGIL,
13190973,REDINGTON,
11540049,ORIENTBELL,
10680010,TVSSRICHAK,
17040160,TV18BRDCST,
17010090,TIIL,
11620061,HUBTOWN,
13190880,CTE,
14510007,TIMKEN,
14010566,NETWORK18,
13020097,IZMO,
10600006,MINDAIND,
10610025,AUTOIND,
13520114,PITTIENG,
15580005,GANDHITUBE,
16040024,SIYSIL,
12030006,IGPL,
10680009,PTL,
11520009,SAGCEM,
12540065,WANBURY,
16040081,SARLAPOLY,
13520113,SANGHVIMOV,
13550006,TIDEWATER,
10670065,LUMAXTECH,
17040180,SITINET,
17040181,ZEEMEDIA,
11050111,TANLA,
11070001,AVTNPL,
13150013,HBLPOWER,
15060017,PARACABLES,
11610070,PRAENG,
11080006,KESARENT,
15140078,XLENERGY,
12200039,PLASTIBLEN,
14090048,CREST,
12100019,NFL,
15590006,SATHAISPAT,
13150003,HIRECT,
11610058,ARIHANT,
15120003,JINDRILL,
10610001,BANCOINDIA,
16660008,RUCHIRA,
16130004,DONEAR,
16490071,SPENTEX,
12540262,VENUSREM,
13560065,MMFL,
11620058,SOBHA,
17024837,DAAWAT,
12130018,MANALIPETC,
11620056,PARSVNATH,
,GESHIP,
16690077,NAUKRI,
13140001,BBL,
10670063,SHIVAMAUTO,
15100034,HINDZINC,
13190872,GTLINFRA,
16110001,AARVEEDEN,
15140023,SHYAMTEL,
14030104,DCBBANK,
16600022,GLOBALVECT,
12520150,JHS,
16590029,GATI,
10620029,FIEMIND,
14090003,JMFINANCIL,
13520109,MBECL,
11610001,ANSALHSG,
16530139,KSERASERA,
11600045,MADHUCON,
13510004,ELECON,
15130120,TORNTPOWER,
16490223,SUTLEJTEX,
12310032,GEECEE,
13560079,ALICON,
11040002,ASSAMCO,
11540019,ANANTRAJ,
10610008,TALBROAUTO,
17020281,SELAN,
13240035,HOVS,
13240014,INSPIRISYS,
13510065,ACE,
14090127,ATLANTA,
16530071,RAMANEWS,
15150025,VOLTAMP,
13610004,DYNAMATECH,
13510019,MANUGRAPH,
14550003,GRINDWELL,
13620015,WENDT,
15210029,GMRINFRA,
12590002,MUNJALAU,
12520109,EMAMILTD,
17110005,ALLCARGO,
17040159,PFOCUS,
16490215,GTNTEX,
16530019,JKLAKSHMI,
16080010,PIONEEREMB,
15630005,KAMDHENU,
13150051,SWELECTES,
15580045,RATNAMANI,
12540247,BALPHARMA,
13620049,LOKESHMACH,
14010522,EMKAY,
13240021,RSYSTEMS,
10520003.01,TECHM,
,GPIL,
17040158,SUNTV,
13110043,ZICOM,
14520025,ROHITFERRO,
16070083,KKCL,
16490213,SGL,
11320023,UTTAMSUGAR,
16670003,MALUPAPER,
15560017,GALLANTT,
14090062,VAKRANGEE,
15080013,SOLARINDS,
11070095,SANWARIA,
15050033,KEI,
11570034,CENTURYPLY,
15510023,VISASTEEL,
11610152,NITCO,
10520003,M&MFIN,
11600114,BLKASHYAP,
11520077,JKCEMENT,
15150021,INDOTECH,
15150022,KEC,
16610457,SAKUMA,
15200050,RCOM,
15210023,SADBHAV,
17024141,INOXLEISUR,
15130101,GVKPIL,
12140048,GSPL,
17080029,JAGRAN,
17040155,ENIL,
14550018,STERTOOLS,
16620051,ROHLTD,
16490210,NITINSPIN,
16530003,BALKRISIND,
,TINPLATE,
11610009,ANSALAPI,
16070079,CELEBRITY,
13190645,BARTRONICS,
17040122,PVR,
17020571,REPRO,
13140004,EMCO,
17024786,EKC,
11070010,NAHARINDUS,
17020229,VIMTALABS,
13510066,AIAENG,
15120011,TRIVENI,
16490208,BRFL,
16070080,SORILINFRA,
16490207,BASML,
11320019,RENUKA,
13190809,AURIONPRO,
15130070,SUZLON,
15520008,SUNFLAG,
16610009,IMPAL,
16490206,RAJVIR,
13190146,FCSSOFT,
16030008,ICIL,
13190210,SASKEN,
13190814,KERNEX,
17080024,HTMEDIA,
10580014,RML,
17020288,GOLDIAM,
16030017,PRECOT,
14550005,ORIENTABRA,
12520142,VIVIMEDLAB,
14100051,IDFC,
13610011,REVATHI,
11040017,MCLEODRUSS,
14590139,SPLIL,
12540563,NECLIFE,
15510031,MSPL,
10630002,SUBROS,
14030144,YESBANK,
13110038,GENUSPOWER,
12010002,INDIAGLYCO,
14090194,GEOJITFSL,
16040029,VHL,
10670051,CASTEXTECH,
15010008,MANINDS,
17024746,JSWHL,
,63MOONS,
12540301,GRANULES,
14090071,PRIMESECU,
13560017,SHAHALLOYS,
16530044,JKPAPER,
16030022,SURYALAXMI,
17040135,CYBERMEDIA,
10590003,SSWL,
15580090,WELCORP,
12540551,MANGALAM,
16610345,SHOPERSTOP,
14010485,IIFL,
13190758,SAKSOFT,
13240027,ALLSEC,
16070075,GOKEX,
14530003,EVEREADY,
10640001,GABRIEL,
13190098,3IINFOTECH,
16570011,JINDALPHOT,
15130060,JPPOWER,
16580012,MERCATOR,
14060171,SHRIRAMCIT,
16590031,GDL,
16570003,CONSOFINVT,
15530059,JSWSTEEL,
12130003,BEPL,
13190754,XCHANGING,
12580005,VIPIND,
11600067,PATELENG,
10630007,SUPRAJIT,
